Topic,Count,Name,Representation,Representative_Docs
-1,23664,-1_bank_stocks_new_says,"['bank', 'stocks', 'new', 'says', 'banks', 'billion', 'street', 'growth', 'stock', 'banking']","['The 7 Most Undervalued Blue-Chip Stocks to Buy in February 2023', 'Stock market today: Dow, S&amp;P 500, Nasdaq futures edge higher as earnings season gains steam', 'SHAREHOLDER ALERT: Brower Piven Encourages Investors Who Have Losses In Excess Of $100,000 From Investment In __COMPANY__ Aktiengesellschaft ( __TICKER__ ) To Contact Brower Piven Before The Lead Plaintiff Deadline In Class Action Lawsuit']"
0,755,0_appoints_head_names_hires,"['appoints', 'head', 'names', 'hires', 'board directors', 'board', 'chief', 'directors', 'investment banking', 'officer']","['__COMPANY__ names new corporate, investment banking head for North America - memo', '__COMPANY__ names new co-heads of investment banking - memo', '__COMPANY__ appoints new co-heads of Investment Banking']"
1,629,1_oil_opec_supply_oil prices,"['oil', 'opec', 'supply', 'oil prices', 'demand', 'crude', 'oil extends', 'weekly', 'oil steadies', 'prices']","['Oil Extends Gain With US Stockpiles and OPEC+ Decision in Focus', 'Oil Set for Third Weekly Drop as Global Demand Concerns Escalate', 'Oil Prices Fall on Tariff Uncertainty, Supply and Demand Concerns']"
2,503,2_ceo_dimon_jamie dimon_jamie,"['ceo', 'dimon', 'jamie dimon', 'jamie', 'ceo says', 'ceo jamie', 'dimon says', 'says', 'recession', 'economy']","['__COMPANY__ CEO Jamie Dimon Warns of Unprecedented Risks for U.S. Economy', ""__COMPANY__ CEO Jamie Dimon Says Banking Crisis To Be Felt 'For Years To Come'"", ""__COMPANY__ CEO Jamie Dimon says 'there could be 6 or 7' interest rate hikes""]"
3,448,3_pay_fined_settle_million,"['pay', 'fined', 'settle', 'million', 'settlement', 'fine', 'mln', 'fines', 'sec', 'million settle']","['__COMPANY__ to pay $75 million to settle Jeffrey Epstein accusers’ suit - WSJ', 'UPDATE 2- __COMPANY__ to pay $75 mln to settle lawsuit by Epstein accusers', '__COMPANY__ to Pay $290 Million to Settle Jeffrey Epstein Accusers’ Suit']"
4,380,4_credit suisse_suisse_credit_swiss,"['credit suisse', 'suisse', 'credit', 'swiss', 'suisse deal', 'takeover', 'suisse takeover', 'buy credit', 'deal', 'swiss government']","['__TICKER__ Agrees to Buy Credit Suisse for More Than $3 Billion', '__TICKER__ agrees to buy Credit Suisse', '__TICKER__ to buy Credit Suisse for $3.2 billion']"
5,360,5_today_today shares_falling today_higher today,"['today', 'today shares', 'falling today', 'higher today', 'today stock', 'stock today', 'falling', 'popped', 'shares', 'stock']","['Why __COMPANY__ Stock Is Falling Today', 'Why Are __COMPANY__ and __COMPANY__ Falling Today?', 'Why __COMPANY__ Was Up 6.8% Today']"
6,319,6_jobs_cuts_job cuts_cut,"['jobs', 'cuts', 'job cuts', 'cut', 'source', 'job', 'layoffs', '000 jobs', 'lay', 'plans']","['UPDATE 1- __COMPANY__ plans job cuts in its investment bank', '__COMPANY__ plans job cuts in its investment bank', '__COMPANY__ Plans to Cut 20,000 Jobs']"
7,318,7_china_property_xi_chinese,"['china', 'property', 'xi', 'chinese', 'china big', 'stimulus', 'yuan', 'china economy', 'china vows', 'banks']","['China’s Big Banks Cut Deposit Rates as Growth Plateaus', ""China's big banks face fallout as pandemic forebearance expires"", 'China’s Big Four banks feel property pinch from failing loans']"
8,315,8_banks_big banks_big_biggest banks,"['banks', 'big banks', 'big', 'biggest banks', 'stress', 'regulators', 'street banks', 'fed', 'stress tests', 'tests']","['Big U.S. banks say spending patterns show consumers are in good shape', 'Big Banks Need More Out of Wall Street', 'Big Banks Face Higher Capital Requirements From US Regulators']"
9,294,9_story_narrative_shifting_recent,"['story', 'narrative', 'shifting', 'recent', 'developments', 'recent developments', 'analyst', 'investment story', 'recent analyst', 'evolving']","['How Recent Developments Are Shaping the __COMPANY__ Investment Story', 'How Recent Developments Are Rewriting the Story for __COMPANY__', 'How Recent Developments Are Rewriting the Story for __TICKER__']"
10,291,10_leave_retire_dies_depart,"['leave', 'retire', 'dies', 'depart', 'step', 'head', 'executive', 'leaves', 'exits', 'chief']","['__COMPANY__ CEO James Gorman to step down in the next year', '__COMPANY__ chief James Gorman to step down within a year', '__COMPANY__ ’s James Gorman to Step Down as CEO']"
11,286,11_credit suisse_suisse_credit_swiss,"['credit suisse', 'suisse', 'credit', 'swiss', 'switzerland', 'update credit', 'takeover', 'rescue', 'suisse loses', 'suisse shares']","[""RPT-FOCUS-Switzerland's secretive Credit Suisse rescue rocks global finance"", ""FOCUS-Switzerland's secretive Credit Suisse rescue rocks global finance"", ""Switzerland's secretive Credit Suisse rescue rocks global finance""]"
12,283,12_revenues_estimates_earnings beat_earnings revenues,"['revenues', 'estimates', 'earnings beat', 'earnings revenues', 'beat', 'q1 earnings', 'q2 earnings', 'q4 earnings', 'revenue estimates', 'q2']","['__COMPANY__ __TICKER__ Q2 Earnings and Revenues Beat Estimates', '__COMPANY__ __TICKER__ Q1 Earnings and Revenues Beat Estimates', '__TICKER__ __TICKER__ Q1 Earnings and Revenues Beat Estimates']"
13,277,13_epstein_jeffrey epstein_jeffrey_staley,"['epstein', 'jeffrey epstein', 'jeffrey', 'staley', 'lawsuit', 'jes', 'jes staley', 'sues', 'sued', 'judge']","['__COMPANY__ , ex-CEO Staley must face US shareholder lawsuit over Jeffrey Epstein ties', '__COMPANY__ Sued Over Jeffrey Epstein Ties', '__COMPANY__ , __COMPANY__ Sued Over Jeffrey Epstein Ties']"
