Topic,Count,Name,Representation,Representative_Docs
-1,30056,-1_bank_new_billion_banks,"['bank', 'new', 'billion', 'banks', 'deal', 'says', 'blackstone', 'goldman', 'investment', 'big']","['BlackRock® Canada Announces April Distributions on Big Bank Big Oil Split Corp.', '7 Warren Buffett Stocks to Buy in May and Hold for Years', '10 Best Blue Chip Dividend Stocks Hedge Funds Are Buying']"
0,1819,0_stocks buy_dividend stocks_stocks_dividend,"['stocks buy', 'dividend stocks', 'stocks', 'dividend', 'buy', '10 best', '10', 'according', 'buy according', 'best']","['10 Best Dividend Stocks To Buy According To Warren Buffett', 'The 3 Best Dividend Stocks to Buy Now', '10 Best Blue Chip Stocks to Buy According to Hedge Funds']"
1,1810,1_epstein_lawsuit_pay_fined,"['epstein', 'lawsuit', 'pay', 'fined', 'jeffrey epstein', 'million', 'probe', 'fraud', 'jeffrey', 'settle']","['__COMPANY__ sues former exec Jes Staley over alleged Jeffrey Epstein ties', '__COMPANY__ , __COMPANY__ Sued Over Jeffrey Epstein Ties', 'Ex- __COMPANY__ CEO Jes Staley Fined in Jeffrey Epstein Probe']"
2,935,2_bitcoin_bitcoin etf_spot_spot bitcoin,"['bitcoin', 'bitcoin etf', 'spot', 'spot bitcoin', 'etf', 'ethereum', 'crypto', 'bitcoin etfs', 'sec', 'bitcoin price']","['Digital Asset Inflows Highest in a Year After BlackRock’s Spot-Bitcoin ETF Filing', 'First Mover Americas: BlackRock Files for a Spot Bitcoin ETF', 'BlackRock Updates Spot Bitcoin ETF Application']"
3,657,3_oil_opec_oil prices_supply,"['oil', 'opec', 'oil prices', 'supply', 'oil extends', 'demand', 'prices', 'crude', 'oil steadies', 'weekly']","['Oil Set for Weekly Drop as OPEC+ Weighs Another Big Supply Hike', 'Oil Set for Weekly Gain as Focus Turns to Upcoming OPEC+ Meeting', 'Oil Set for Weekly Loss After OPEC+ Supply Plan Rattles Market']"
4,595,4_appoints_names_head_hires,"['appoints', 'names', 'head', 'hires', 'chief', 'officer', 'investment banking', 'memo', 'banking', 'board']","['__COMPANY__ Wealth Management Appoints New Chief Marketing Officer', '__COMPANY__ appoints new head of technology', 'UPDATE 1- __COMPANY__ names new corporate, investment banking head for North America - memo']"
5,589,5_fink_larry fink_larry_blackrock,"['fink', 'larry fink', 'larry', 'blackrock', 'fink says', 'blackrock ceo', 'blackrock says', 'blackrock fink', 'says blackrock', 'rieder']","['Why BlackRock’s Larry Fink is ""petrified""', 'BlackRock CEO Larry Fink says almost everyone he talks to is ‘more anxious about the economy than any time in recent memory’', 'BlackRock CEO Larry Fink Says Stakeholder Capitalism Is Not ‘Woke’']"
6,548,6_etfs_sector etfs_etfs buy_volatility etfs,"['etfs', 'sector etfs', 'etfs buy', 'volatility etfs', 'energy etfs', 'etf strategies', 'etfs tap', 'etf areas', 'sector', 'etf']","['Low Volatility ETFs to Play Stock Market Volatility', '4 Top-Ranked Sector ETFs to Buy Now', '5 Quality ETFs to Buy Now']"
7,475,7_buys_llc buys_llc_corp,"['buys', 'llc buys', 'llc', 'corp', 'sells', 'management llc', 'ishares', 'buys ishares', 'vanguard', 'bond etf']","['SevenBridge Financial Group, LLC Buys iShares Core S&amp;P 500 ETF, iShares 1-3 Year Credit ...', 'One Capital Management, LLC Buys PowerShares QQQ Trust Ser 1, Microsoft Corp, iShares Core ...', 'Neumann Capital Management, LLC Buys Apple Inc, BTC iShares Core MSCI EAFE ETF, iShares Russell ...']"
8,435,8_ceo_ceo says_dimon_ceo jamie,"['ceo', 'ceo says', 'dimon', 'ceo jamie', 'jamie dimon', 'jamie', 'dimon says', 'says', 'recession', 'ceo sees']","['UPDATE 2- __COMPANY__ CEO Dimon says US economy is booming', '__COMPANY__ CEO Jamie Dimon says to ‘get over it’ on Trump’s tariff proposals', ""__COMPANY__ CEO Jamie Dimon says 'there could be 6 or 7' interest rate hikes""]"
9,423,9_roundup_win_spurs_ot,"['roundup', 'win', 'spurs', 'ot', 'nba', 'past', 'vs', 'sharks', 'jets', 'game']","['NBA roundup: Lakers lose, Clippers win in return to action', ""NHL roundup: Canucks win on Drew O’Connor's OT penalty shot"", 'NBA roundup: Heat turn back Mavericks in OT']"
10,417,10_ring_ring nasdaq_bell_nasdaq stock,"['ring', 'ring nasdaq', 'bell', 'nasdaq stock', 'closing bell', 'market closing', 'closing', 'stock market', 'market opening', 'opening bell']","['The Honor Foundation to Ring The Nasdaq Stock Market Closing Bell', 'E! to Ring The Nasdaq Stock Market Opening Bell', '(R)T.E.A.L. to Ring The Nasdaq Stock Market Opening Bell']"
11,406,11_credit suisse_suisse_credit_swiss,"['credit suisse', 'suisse', 'credit', 'swiss', 'suisse deal', 'suisse takeover', 'takeover', 'buy credit', 'deal', 'swiss government']","['__TICKER__ agrees to buy Credit Suisse for more than $2 billion - FT', '__TICKER__ Agrees to Buy Credit Suisse for More Than $3 Billion', '__TICKER__ Agrees to Buy Credit Suisse for $3 Billion: What’s Next']"
12,365,12_strategic acquisition_acquisition_corp strategic_sell,"['strategic acquisition', 'acquisition', 'corp strategic', 'sell', 'acquire', 'shares corp', 'agrees', 'sale', 'unit', 'business']","[""__COMPANY__ Corp's Strategic Acquisition of Shares in Ocugen Inc"", ""__COMPANY__ Corp's Strategic Acquisition of Conagra Brands Shares"", ""__COMPANY__ Corp's Strategic Acquisition of Paramount Global Shares""]"
13,351,13_leave_retire_step_depart,"['leave', 'retire', 'step', 'depart', 'dies', 'head', 'leaves', 'executive', 'exits', 'chief']","['James Gorman to Step Down as __COMPANY__ Chairman', '__COMPANY__ ’s James Gorman to Step Down as CEO', '__COMPANY__ chief James Gorman to step down within a year']"
14,331,14_jobs_cuts_cut_job cuts,"['jobs', 'cuts', 'cut', 'job cuts', 'source', 'layoffs', '000 jobs', 'job', 'lay', 'cutting']","['__COMPANY__ May Cut More Than 3,000 Jobs This Week', '__COMPANY__ Plans to Cut 20,000 Jobs', '__COMPANY__ plans to cut another 3,000 jobs']"
