Topic,Count,Name,Representation,Representative_Docs
-1,23388,-1_bank_market_banking_new,"['bank', 'market', 'banking', 'new', 'stock', 'investment', 'says', 'growth', 'global', 'banks']","['INVESTOR ACTION NOTICE: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against The __COMPANY__ Group, Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm', '__COMPANY__ __TICKER__ Q2 Earnings Beat on Fee Income Growth', 'INVESTOR ACTION ALERT: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against The __COMPANY__ Group, Inc. and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm']"
0,966,0_buffett_warren buffett_warren_berkshire,"['buffett', 'warren buffett', 'warren', 'berkshire', 'hathaway', 'berkshire hathaway', 'buffett stocks', 'stocks warren', 'portfolio invested', 'invested']","['Here Are My Top 2 Buffett Stocks to Buy Now', '3 Warren Buffett Stocks to Buy Now: May 2024', '5 Warren Buffett Stocks to Buy and Never Sell']"
1,760,1_credit suisse_suisse_credit_takeover,"['credit suisse', 'suisse', 'credit', 'takeover', 'suisse deal', 'swiss', 'suisse takeover', 'rescue', 'buy credit', 'update credit']","['__TICKER__ Agrees to Buy Credit Suisse for $3 Billion: What’s Next', '__TICKER__ agrees to buy Credit Suisse', '__TICKER__ to buy Credit Suisse for $3.2 billion']"
2,544,2_dividend stocks_dividend_best dividend_tsx dividend,"['dividend stocks', 'dividend', 'best dividend', 'tsx dividend', 'tsx', 'yielding', 'stocks buy', 'stocks', 'yield dividend', '10 best']","['3 High Yield Dividend Stocks You Can Buy For Under $10', '3 Top TSX Dividend Stocks To Consider', 'The 3 Best Dividend Stocks to Buy Now']"
3,535,3_ipo_kong ipo_billion ipo_backed,"['ipo', 'kong ipo', 'billion ipo', 'backed', 'ipo sources', 'ipos', 'said', 'ant', 'files ipo', 'ipo market']","['China Fintech PingPong Weighing $1 Billion Hong Kong IPO, Sources Say', 'China Trucking Startup Said to Raise $1.6 Billion in U.S. IPO', 'Ant Group-Backed Kakao Pay Seeks Up to $1.4 Billion in IPO']"
4,529,4_crypto_bitcoin_stablecoin_stablecoins,"['crypto', 'bitcoin', 'stablecoin', 'stablecoins', 'crypto trading', 'cryptocurrency', 'coinbase', 'ethereum', 'cryptocurrencies', 'custody']","['__COMPANY__ : In on stablecoins?', '__COMPANY__ to offer crypto trading in surprise move', '__COMPANY__ Plans to Offer Crypto Trading to E*Trade Clients']"
5,516,5_ai_ai stocks_bubble_ai bubble,"['ai', 'ai stocks', 'bubble', 'ai bubble', 'intelligence', 'says ai', 'artificial intelligence', 'artificial', 'generative ai', 'generative']","['__COMPANY__ ’s valuation model says AI not in a bubble yet', '2 Top Artificial Intelligence (AI) Stocks That Could Crush the Nasdaq', '2 Artificial Intelligence (AI) Stocks That Could Become $1 Trillion Giants']"
6,471,6_russia_russian_ukraine_sanctions,"['russia', 'russian', 'ukraine', 'sanctions', 'putin', 'ukraine latest', 'exposure', 'war', 'exit', 'moscow']","['__COMPANY__ Has ‘Very Limited’ Exposure to Russia', '__COMPANY__ to exit Russia with sale of Rosbank to oligarch', 'Update on Russia and Ukraine']"
7,470,7_stock buy_momentum stock_buy according_stock invest,"['stock buy', 'momentum stock', 'buy according', 'stock invest', 'amp best', 'according', 'corporation best', 'great', 'invest', 'best']","['__COMPANY__ Corporation __TICKER__ is a Great Momentum Stock: Should You Buy?', 'Is __COMPANY__ Inc. __TICKER__ the Most Undervalued US Stock to Buy According to Hedge Funds?', '__COMPANY__ __TICKER__ is a Great Momentum Stock: Should You Buy?']"
8,399,8_stocks buy_10 best_according_10,"['stocks buy', '10 best', 'according', '10', 'best', 'buy', 'best stocks', 'stocks', 'buy according', 'stocks invest']","['12 Best Very Cheap Stocks To Buy Now According To Hedge Funds', '10 Best Value Stocks to Buy Now', '10 Best US Stocks to Buy Now']"
9,377,9_oil_opec_supply_oil prices,"['oil', 'opec', 'supply', 'oil prices', 'oil extends', 'demand', 'oil set', 'weekly', 'stockpiles', 'crude']","['Oil Set for Sixth Weekly Gain as OPEC+ Supply Boost Disappoints', 'Oil Set for Weekly Drop as OPEC+ Weighs Another Big Supply Hike', 'Oil Set for Weekly Gain as Focus Turns to Upcoming OPEC+ Meeting']"
10,373,10_dimon_jamie dimon_jamie_ceo jamie,"['dimon', 'jamie dimon', 'jamie', 'ceo jamie', 'dimon says', 'ceo', 'ceo dimon', 'dimon warns', 'chase ceo', 'says']","['__COMPANY__ CEO Jamie Dimon to Sell One Million Shares', '__COMPANY__ Chase CEO Jamie Dimon to sell company stock for first time', 'Jamie Dimon Says Economy Is Weakening']"
11,344,11_goldman_goldman profit_goldman ceo_private,"['goldman', 'goldman profit', 'goldman ceo', 'private', 'goldman traders', 'consumer', 'private equity', 'update goldman', 'goldman hires', 'banking trading']","['UPDATE 2-Goldman to combine investment banking and trading as part of major overhaul - WSJ', 'Goldman hires Uber executive to run its consumer bank', 'UPDATE 1-Goldman hires Uber executive to run its consumer bank']"
