Topic,Count,Name,Representation,Representative_Docs
-1,2637,-1_growth_global_capital_bank,"['growth', 'global', 'capital', 'bank', 'stock', 'investors', 'says', 'strategic', 'ceo', 'market']","['Bank earnings: What to expect in 2026 amid capital market changes', ""Japan's __TICKER__ posts record annual profit, forecasts better year ahead despite tariff hit"", 'Broadcom in focus as __TICKER__ maintains Buy rating, cuts price target, ahead of earnings']"
0,321,0_shifting_story_narrative_analyst,"['shifting', 'story', 'narrative', 'analyst', 'targets', 'investment', 'assumptions', 'analysts', 'views', 'evolving']","['Why the Narrative Around __TICKER__ Is Shifting After Recent Analyst and Market Developments', 'How The Narrative On __COMPANY__ Bank ( __TICKER__ ) Is Shifting With New Analyst Targets', 'How The __COMPANY__ ( __TICKER__ ) Investment Story Is Shifting With New Analyst Targets']"
1,272,1_q4_q2_q3_earnings,"['q4', 'q2', 'q3', 'earnings', 'estimates', 'nii', 'snapshot', 'revenues', 'fee', 'income']","['__COMPANY__ Bank __TICKER__ Beats Q4 Earnings and Revenue Estimates', '__TICKER__ __TICKER__ Q3 Earnings and Revenues Beat Estimates', '__COMPANY__ Q4 Earnings Beat Estimates on Y/Y NII Growth, Stock Down']"
2,255,2_ai_software_intelligence_artificial,"['ai', 'software', 'intelligence', 'artificial', 'disruption', 'job', 'tech', 'agentic', 'says', 'driven']","['__COMPANY__ says this is the best software stock to buy now', '1 Artificial Intelligence (AI) Stock With Generational Wealth Potential', 'Wall Street Says Forget AI Chips, and Buy AI Software Stocks Instead for 2026']"
3,172,3_crypto_stablecoin_bitcoin_stablecoins,"['crypto', 'stablecoin', 'bitcoin', 'stablecoins', 'tokenized', 'deposits', 'digital', 'clients', 'blockchain', 'banks']","['__TICKER__ Considers Offering Crypto Trading to Private Banking Clients', 'Big European banks form company to launch euro stablecoin', '__TICKER__ CEO Details Crypto Plans Following Report of Bitcoin, Ethereum Trading for Wealthy Clients']"
4,167,4_etf_etfs_management_asset,"['etf', 'etfs', 'management', 'asset', 'vanguard', 'distributions', 'funds', 'announces', 'radar', 'fund']","['__COMPANY__ Global Asset Management Inc. announces __COMPANY__ ETF cash distributions for January 2026', '__COMPANY__ Global Asset Management Inc. announces January 2026 cash distributions for ETF Series of __COMPANY__ Funds', '__TICKER__ Asset Management Inc. Announces __TICKER__ ETF Distributions']"
5,124,5_target_pt_price_lifts,"['target', 'pt', 'price', 'lifts', 'cuts', 'raised', 'rating', 'keeps', 'raises', 'neutral']","['__TICKER__ Lifts Altria (MO) Price Target, Keeps Buy Rating', '__COMPANY__ lifts GSK target price but keeps neutral stance after rally', '__COMPANY__ Keeps Buy Rating, 12 Month Price Target Raised By $4 at __TICKER__']"
6,116,6_oil_prices_supply_opec,"['oil', 'prices', 'supply', 'opec', 'hormuz', 'iran', 'russia', 'crude', '100', 'russian']","['Oil Prices Fall on Tariff Uncertainty, Supply-Demand Worries', 'Oil Prices Fall on Tariff Uncertainty, Supply and Demand Concerns', 'Oil Prices Drop On Supply, Demand Concerns After OPEC+ Hike']"
7,116,7_dow_nasdaq_today_500,"['dow', 'nasdaq', 'today', '500', 'futures', 'amp', 'market', 'jones', 'slip', 'jitters']","['Stock market today: Dow, S&amp;P 500, Nasdaq futures slide amid upbeat bank earnings, Iran fears', 'Stock market today: Dow, S&amp;P 500, Nasdaq futures slip amid upbeat bank earnings, Iran fears', 'Stock market today: Dow, S&amp;P 500, Nasdaq futures slip with bank earnings and inflation data on deck']"
8,111,8_earnings_beat_estimates_live,"['earnings', 'beat', 'estimates', 'live', 'report', 'surges', 'tsmc', 'miss', 'profit', 'estimate']","['Why The __COMPANY__ __TICKER__ Could Beat Earnings Estimates Again', 'Will The __COMPANY__ __TICKER__ Beat Estimates Again in Its Next Earnings Report?', 'Will __COMPANY__ __TICKER__ Beat Estimates Again in Its Next Earnings Report?']"
9,93,9_gold_silver_prices_metals,"['gold', 'silver', 'prices', 'metals', 'haven', '000', 'precious', 'rate', 'rises', 'fed']","['Week’s Best: Get In on Gold and Silver?', 'Gold Rises Ahead of U.S. Jobs Data', 'Gold Has Potential to Rise Further']"
10,87,10_mortgage_lenders_rates_england,"['mortgage', 'lenders', 'rates', 'england', 'mortgages', 'halifax', 'nationwide', 'rate', 'buyers', 'uk']","['Lenders raise mortgage rates ahead of interest rate decision', 'Nationwide cuts mortgage rates as other lenders hold or raise deals', 'Lenders hold mortgage deals as Bank of England cuts interest rates']"
11,86,11_appoints_board_advisor_directors,"['appoints', 'board', 'advisor', 'directors', 'team', 'director', 'hires', 'head', 'americas', 'forbes']","['__COMPANY__ - Board of Directors: co-option of a woman Director', 'Changes to the __TICKER__ Board of Directors', '__COMPANY__ Recruits $1.7 Billion __TICKER__ Financial Advisor Team']"
